HRRP_DNAME,HRRP_DCODE,HRRP_ZCODE,HRRP_ZNAME,HRRP_RCODE,HRRP_RNAME
Arghakhanchi,524 3 08 51,524 3 08,Lumbini,524 3,Western Dev. Region
Baglung,524 3 09 45,524 3 09,Dhawalagiri,524 3,Western Dev. Region
Bhaktapur,524 2 05 26,524 2 05,Bagmati,524 2,Central Dev. Region
Bhojpur,524 1 02 10,524 1 02,Koshi,524 1,Eastern Dev. Region
Chitawan,524 2 06 35,524 2 06,Narayani,524 2,Central Dev. Region
Dhading,524 2 05 30,524 2 05,Bagmati,524 2,Central Dev. Region
Dhankuta,524 1 02 07,524 1 02,Koshi,524 1,Eastern Dev. Region
Dolakha,524 2 04 22,524 2 04,Janakpur,524 2,Central Dev. Region
Gorkha,524 3 07 36,524 3 07,Gandaki,524 3,Western Dev. Region
Gulmi,524 3 08 46,524 3 08,Lumbini,524 3,Western Dev. Region
Kaski,524 3 07 40,524 3 07,Gandaki,524 3,Western Dev. Region
Kathmandu,524 2 05 27,524 2 05,Bagmati,524 2,Central Dev. Region
Kavrepalanchok,524 2 05 24,524 2 05,Bagmati,524 2,Central Dev. Region
Khotang,524 1 03 13,524 1 03,Sagarmatha,524 1,Eastern Dev. Region
Lalitpur,524 2 05 25,524 2 05,Bagmati,524 2,Central Dev. Region
Lamjung,524 3 07 37,524 3 07,Gandaki,524 3,Western Dev. Region
Makwanpur,524 2 06 31,524 2 06,Narayani,524 2,Central Dev. Region
Myagdi,524 3 09 43,524 3 09,Dhawalagiri,524 3,Western Dev. Region
Nawalparasi,524 3 08 48,524 3 08,Lumbini,524 3,Western Dev. Region
Nuwakot,524 2 05 28,524 2 05,Bagmati,524 2,Central Dev. Region
Okhaldhunga,524 1 03 12,524 1 03,Sagarmatha,524 1,Eastern Dev. Region
Palpa,524 3 08 47,524 3 08,Lumbini,524 3,Western Dev. Region
Parbat,524 3 09 44,524 3 09,Dhawalagiri,524 3,Western Dev. Region
Ramechhap,524 2 04 21,524 2 04,Janakpur,524 2,Central Dev. Region
Rasuwa,524 2 05 29,524 2 05,Bagmati,524 2,Central Dev. Region
Sankhuwasabha,524 1 02 09,524 1 02,Koshi,524 1,Eastern Dev. Region
Sindhuli,524 2 04 20,524 2 04,Janakpur,524 2,Central Dev. Region
Sindhupalchok,524 2 05 23,524 2 05,Bagmati,524 2,Central Dev. Region
Solukhumbu,524 1 03 11,524 1 03,Sagarmatha,524 1,Eastern Dev. Region
Syangja,524 3 07 39,524 3 07,Gandaki,524 3,Western Dev. Region
Tanahu,524 3 07 38,524 3 07,Gandaki,524 3,Western Dev. Region
